article_slug,product_name,product_type,selection_note,affiliate_url,link_type
best-solar-lights-canada,Nymphy Solar Spot Lights 4-Pack,solar spotlight,"Recent Amazon bestseller coverage for bright, adjustable landscape lighting.",https://www.amazon.ca/s?k=Nymphy+solar+spot+lights+4+pack+outdoor&tag=simplekit-20,search_link
best-solar-lights-canada,Gigalumi Solar Pathway Lights 12-Pack,solar pathway light,Recent coverage highlighted these as an affordable path-light option.,https://www.amazon.ca/s?k=Gigalumi+solar+pathway+lights+12+pack&tag=simplekit-20,search_link
best-solar-lights-canada,Addlon Solar String Lights,solar string light,Useful for patios where ambiance matters more than wayfinding.,https://www.amazon.ca/s?k=Addlon+solar+string+lights+outdoor&tag=simplekit-20,search_link
backyard-lighting-under-100,Addlon 48FT Outdoor String Lights,plug-in string light,Frequently cited as a strong value pick for patios and pergolas.,https://www.amazon.ca/s?k=Addlon+48FT+outdoor+string+lights&tag=simplekit-20,search_link
backyard-lighting-under-100,Brightech Ambience Pro Solar String Lights,solar string light,Widely recommended when you want no extension cord.,https://www.amazon.ca/s?k=Brightech+Ambience+Pro+solar+string+lights&tag=simplekit-20,search_link
backyard-lighting-under-100,Brightown Globe String Lights,globe patio light,Budget-friendly decorative patio lighting option.,https://www.amazon.ca/s?k=Brightown+globe+string+lights+outdoor&tag=simplekit-20,search_link
best-fire-pits-canada,Solo Stove Bonfire 2.0,smokeless fire pit,Consistently recommended for cleaner burns and easier cleanup.,https://www.amazon.ca/s?k=Solo+Stove+Bonfire+2.0+smokeless+fire+pit&tag=simplekit-20,search_link
best-fire-pits-canada,Outland Living Mega Fire Pit,propane fire pit,"Frequently recommended gas option for simple, smoke-free use.",https://www.amazon.ca/s?k=Outland+Living+Mega+propane+fire+pit&tag=simplekit-20,search_link
best-fire-pits-canada,Amazon Basics Steel Lattice Fire Pit,budget wood fire pit,Budget pick mentioned in current fire-pit testing coverage.,https://www.amazon.ca/s?k=Amazon+Basics+steel+lattice+fire+pit&tag=simplekit-20,search_link
propane-vs-wood-fire-pit,Outland Living Mega Fire Pit,propane fire pit,Easy-start propane option for lower-maintenance buyers.,https://www.amazon.ca/s?k=Outland+Living+Mega+propane+fire+pit&tag=simplekit-20,search_link
propane-vs-wood-fire-pit,Solo Stove Bonfire 2.0,wood smokeless fire pit,Strong wood-burning option with reduced smoke.,https://www.amazon.ca/s?k=Solo+Stove+Bonfire+2.0+smokeless+fire+pit&tag=simplekit-20,search_link
propane-vs-wood-fire-pit,Fire pit cover 30 inch round,accessory,Weather protection accessory for longer service life.,https://www.amazon.ca/s?k=30+inch+round+fire+pit+cover+outdoor&tag=simplekit-20,search_link
raised-garden-beds-canada,Keter Maple Raised Garden Bed,raised garden bed,Weather-resistant resin raised bed sold in Canada.,https://www.amazon.ca/s?k=Keter+Maple+Raised+Garden+Bed&tag=simplekit-20,search_link
raised-garden-beds-canada,Galvanized Steel Raised Garden Bed,raised garden bed,Standard budget-friendly cold-climate bed style.,https://www.amazon.ca/s?k=galvanized+steel+raised+garden+bed+outdoor&tag=simplekit-20,search_link
raised-garden-beds-canada,Garden bed cover hoops and mesh,accessory,"Useful for frost, pests, and seedling protection.",https://www.amazon.ca/s?k=raised+garden+bed+hoops+cover+mesh&tag=simplekit-20,search_link
beginner-garden-setup,Keter Maple Raised Garden Bed,raised garden bed,Simple starter bed for beginners.,https://www.amazon.ca/s?k=Keter+Maple+Raised+Garden+Bed&tag=simplekit-20,search_link
